SCHUL_RDNMA,SCHUL_NM,LTTUD,LGTUD,least_dis,least_center
서울특별시 노원구 초안산로 12,인덕과학기술고등학교,37.631886,127.05574,0.2185559376976256,월계
서울특별시 중구 을지로 299,한양공업고등학교,37.565872,127.011444,0.08618876852303287,을지로
서울특별시 동대문구 겸재로 21,휘경공업고등학교,37.58522,127.06973,0.627493809024529,휘경
서울특별시 종로구 자하문로 136,경기상업고등학교,37.58925,126.9697,0.3342956765774109,신교
서울특별시 중구 만리재로37길 30,서울의료보건고등학교,37.557297,126.96672,0.5223320706443203,미근
서울특별시 성북구 성북로8길 71,동구마케팅고등학교,37.593132,127.006744,0.8679313080650641,돈암
서울특별시 강동구 동남로 964,서울컨벤션고등학교,37.5,127.1,0.8375025612979335,잠실
서울특별시 관악구 관악로 85,서울여자상업고등학교,37.472733,126.950554,0.2543311902331688,관악
서울특별시 은평구 갈현로29길 27,선일이비즈니스고등학교,37.620335,126.912,1.035307142754623,역촌
서울특별시 강동구 구천면로 396,성덕고등학교,37.6,127.1,0.16523832498890736,망우
서울특별시 강서구 등촌로13아길 20,서울신정고등학교,37.53858,126.857,1.3073170118119364,양천_신정
서울특별시 관악구 청룡16길 25,영락의료과학고등학교,37.476562,126.944786,0.7484274256741035,봉천
서울특별시 송파구 송파대로38길 8,일신여자상업고등학교,37.501972,127.114525,0.8165215174797262,가락
서울특별시 동대문구 홍릉로15길 50,정화여자상업고등학교,37.58579,127.04103,0.8432377205238923,전농
서울특별시 동대문구 전농로20길 31,해성국제컨벤션고등학교,37.581757,127.057236,0.6563347649746666,청량리
서울특별시 마포구 성미산로 111,홍익디자인고등학교,37.562687,126.91972,0.9498608152884146,서교
서울특별시 은평구 서오릉로20길 19,선정국제관광고등학교,37.61882,126.908455,0.9556440769675474,역촌
서울특별시 중구 퇴계로 375,성동글로벌경영고등학교,37.565853,127.01353,0.17705984087430468,을지로
서울특별시 도봉구 시루봉로 53,세그루패션디자인고등학교,37.655556,127.02645,0.49440942537189314,쌍문
서울특별시 노원구 중계로16나길 13,영신간호비즈니스고등학교,37.652454,127.083275,1.307086150644663,상계
서울특별시 은평구 연서로 117,예일디자인고등학교,37.609592,126.915794,0.6476133316404746,역촌
서울특별시 강서구 강서로45길 91-44,덕원예술고등학교,37.549374,126.828445,1.01466273110881,발산
서울특별시 종로구 평창문화로 70,서울예술고등학교,37.60576,126.96789,0.7830322537238,신영
서울특별시 광진구 천호대로 664,선화예술고등학교,37.549995,127.087555,0.6341534690935782,구의
서울특별시 강서구 화곡로 379,경복비즈니스고등학교,37.558105,126.85265,0.8221061506611842,등촌
서울특별시 성북구 북악산로 870,고명외식고등학교,37.59732,127.02019,0.3839503810220805,길음
서울특별시 관악구 은천로15길 25,서울관광고등학교,37.48822,126.94354,0.3094955417540362,봉천
서울특별시 관악구 광신길 141,광신방송예술고등학교,37.465717,126.9247,1.1680091573191718,난곡
서울특별시 구로구 오리로21길 2,예림디자인고등학교,37.498707,126.82945,0.16304836549117505,수궁
서울특별시 중구 매봉18길 111,대경상업고등학교,37.556694,127.01753,0.5970352383997852,무학
서울특별시 종로구 계동길 84-10,대동세무고등학교,37.58158,126.98795,0.838302239116684,종로
서울특별시 양천구 신정이펜1로 11,대일관광고등학교,37.613956,127.012924,0.4883445505911807,삼각산
서울특별시 성동구 왕십리로 199,덕수고등학교,37.555264,127.04114,0.20994371670980702,행당(구 송정)
서울특별시 도봉구 마들로 598,서울문화고등학교,37.66413,127.04729,0.47430325795240236,방학
서울특별시 은평구 통일로 793,동명생활경영고등학교,37.61421,126.923065,1.0433363052059814,진관
서울특별시 관악구 호암로 546,미림여자정보과학고등학교,37.466335,126.93291,1.5972508401168255,봉천
서울특별시 송파구 오금로49길 18,보인고등학교,37.496983,127.13829,0.5152991490024504,마천
서울특별시 구로구 오리로 1355-10,서서울생활과학고등학교,37.50344,126.82775,0.5181531704791694,수궁
서울특별시 양천구 가로공원로61길 19,서울금융고등학교,37.537617,126.82562,1.0514190792704678,양천_신월
서울특별시 종로구 지봉로17길 49,서일문화예술고등학교,37.57938,127.012794,0.7983615450665923,돈암
서울특별시 강북구 도봉로29길 52,성암국제무역고등학교,37.620895,127.02468,0.40635055522841607,미아
서울특별시 강서구 방화대로34길 13,서울항공비즈니스고등학교,37.569218,126.81704,0.7682775778029174,방화
서울특별시 중랑구 양원역로 67,송곡관광고등학교,37.606335,127.10544,0.7915112769387623,망우
서울특별시 노원구 월계로45가길 9,염광여자메디텍고등학교,37.6299,127.04856,0.874317635359431,월계
서울특별시 중랑구 망우로73길 56,이화여자대학교병설미디어고등학교,37.60313,127.10533,0.641640913287398,망우
서울특별시 노원구 공릉로 257,동산정보산업고등학교,37.630203,127.07506,0.6960562309861245,하계
서울특별시 강서구 강서로45길 70,화곡보건경영고등학교,37.54904,126.832794,0.6134111208622681,발산
서울특별시 중구 소파로2길 ,리라아트고등학교,37.55713,126.98823,0.545204007558632,회현
서울특별시 서초구 과천대로 852-23,서울전자고등학교,37.46972,126.98836,0.3872278564747378,방배
